Refrence Series;Organism;Sample Id;Characteristic;Time;Type;Group;Sample;Overall_Design
GSE45867;Homo sapiens;GSM1116933;Synovial tissue prior to Tocilizumab therapy, repl 1;Time;cont;A;1;Paired synovial biopsy samples were obtained from the affected knee of early RA patients before and 12 weeks after initiation of Tocilizumab (n=12) or Methotrexate (n=8) therapy. SDAI remission criteria were computed prospectively before, 3 months and 6 months after administration of the drugs and patients’ responses were defined according to their SDAI remission status at 6 months. Gene expression studies were performed using GeneChip Human Genome U133 Plus 2.0 arrays.
GSE45867;Homo sapiens;GSM1116934;Synovial tissue after to Tocilizumab therapy, repl 1;Time;pert;A;2;Paired synovial biopsy samples were obtained from the affected knee of early RA patients before and 12 weeks after initiation of Tocilizumab (n=12) or Methotrexate (n=8) therapy. SDAI remission criteria were computed prospectively before, 3 months and 6 months after administration of the drugs and patients’ responses were defined according to their SDAI remission status at 6 months. Gene expression studies were performed using GeneChip Human Genome U133 Plus 2.0 arrays.
GSE45867;Homo sapiens;GSM1116935;Synovial tissue prior to Tocilizumab therapy, repl 2;Time;cont;A;1;Paired synovial biopsy samples were obtained from the affected knee of early RA patients before and 12 weeks after initiation of Tocilizumab (n=12) or Methotrexate (n=8) therapy. SDAI remission criteria were computed prospectively before, 3 months and 6 months after administration of the drugs and patients’ responses were defined according to their SDAI remission status at 6 months. Gene expression studies were performed using GeneChip Human Genome U133 Plus 2.0 arrays.
GSE45867;Homo sapiens;GSM1116936;Synovial tissue after to Tocilizumab therapy, repl 2;Time;pert;A;2;Paired synovial biopsy samples were obtained from the affected knee of early RA patients before and 12 weeks after initiation of Tocilizumab (n=12) or Methotrexate (n=8) therapy. SDAI remission criteria were computed prospectively before, 3 months and 6 months after administration of the drugs and patients’ responses were defined according to their SDAI remission status at 6 months. Gene expression studies were performed using GeneChip Human Genome U133 Plus 2.0 arrays.
GSE45867;Homo sapiens;GSM1116937;Synovial tissue prior to Tocilizumab therapy, repl 3;Time;cont;A;1;Paired synovial biopsy samples were obtained from the affected knee of early RA patients before and 12 weeks after initiation of Tocilizumab (n=12) or Methotrexate (n=8) therapy. SDAI remission criteria were computed prospectively before, 3 months and 6 months after administration of the drugs and patients’ responses were defined according to their SDAI remission status at 6 months. Gene expression studies were performed using GeneChip Human Genome U133 Plus 2.0 arrays.
GSE45867;Homo sapiens;GSM1116938;Synovial tissue after to Tocilizumab therapy, repl 3;Time;pert;A;2;Paired synovial biopsy samples were obtained from the affected knee of early RA patients before and 12 weeks after initiation of Tocilizumab (n=12) or Methotrexate (n=8) therapy. SDAI remission criteria were computed prospectively before, 3 months and 6 months after administration of the drugs and patients’ responses were defined according to their SDAI remission status at 6 months. Gene expression studies were performed using GeneChip Human Genome U133 Plus 2.0 arrays.
GSE45867;Homo sapiens;GSM1116939;Synovial tissue prior to Tocilizumab therapy, repl 4;Time;cont;A;1;Paired synovial biopsy samples were obtained from the affected knee of early RA patients before and 12 weeks after initiation of Tocilizumab (n=12) or Methotrexate (n=8) therapy. SDAI remission criteria were computed prospectively before, 3 months and 6 months after administration of the drugs and patients’ responses were defined according to their SDAI remission status at 6 months. Gene expression studies were performed using GeneChip Human Genome U133 Plus 2.0 arrays.
GSE45867;Homo sapiens;GSM1116940;Synovial tissue after to Tocilizumab therapy, repl 4;Time;pert;A;2;Paired synovial biopsy samples were obtained from the affected knee of early RA patients before and 12 weeks after initiation of Tocilizumab (n=12) or Methotrexate (n=8) therapy. SDAI remission criteria were computed prospectively before, 3 months and 6 months after administration of the drugs and patients’ responses were defined according to their SDAI remission status at 6 months. Gene expression studies were performed using GeneChip Human Genome U133 Plus 2.0 arrays.
GSE45867;Homo sapiens;GSM1116941;Synovial tissue prior to Tocilizumab therapy, repl 5;Time;cont;A;1;Paired synovial biopsy samples were obtained from the affected knee of early RA patients before and 12 weeks after initiation of Tocilizumab (n=12) or Methotrexate (n=8) therapy. SDAI remission criteria were computed prospectively before, 3 months and 6 months after administration of the drugs and patients’ responses were defined according to their SDAI remission status at 6 months. Gene expression studies were performed using GeneChip Human Genome U133 Plus 2.0 arrays.
GSE45867;Homo sapiens;GSM1116942;Synovial tissue after to Tocilizumab therapy, repl 5;Time;pert;A;2;Paired synovial biopsy samples were obtained from the affected knee of early RA patients before and 12 weeks after initiation of Tocilizumab (n=12) or Methotrexate (n=8) therapy. SDAI remission criteria were computed prospectively before, 3 months and 6 months after administration of the drugs and patients’ responses were defined according to their SDAI remission status at 6 months. Gene expression studies were performed using GeneChip Human Genome U133 Plus 2.0 arrays.
