Refrence Series;Organism;Sample Id;Characteristic;Time;Type;Group;Sample;Overall_Design
GSE78523;Homo sapiens;GSM2072175;A51;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072176;A48;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072177;A49;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072178;A15;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072179;A16;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072180;A17;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072181;A18;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072182;A19;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072183;A14;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072184;A12;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072185;A10;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072186;A11;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072187;A7;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072188;A9;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072189;A8;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072190;A39;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072191;A40;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072192;A42;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072193;A37;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072194;A38;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072195;A41;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
GSE78523;Homo sapiens;GSM2072196;A31;no;;;;Using the Almac-Xcel array (Affymetrix) we profiled total RNA of gastric mucosa from:Incomplete Intestinal metaplasia that progress to GC (N=6) vs Incomplete Intestinal metaplasia that not progress to GC (IIM Controls, N=7)Complete Intestinal metaplasia that progress to GC (N=8) vs Complete Intestinal metaplasia that not progress to GC (CIM controls, N=9)Healthy controls (N=15)
