Refrence Series;Organism;Sample Id;Characteristic;Time;Type;Group;Sample;Overall_Design
GSE11881;Homo sapiens;GSM124575;Non-tolerant PBMCs_NoTOL_VHC_1;No;Pert;A;1;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124646;Tolerant PBMC_TOL_VHC_2;No;Pert;A;2;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124648;Tolerant PBMC_TOL_VHC_7;No;Pert;A;2;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124675;Non-tolerant PBMCs_NoTOL_VHC_9;No;Pert;A;1;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124748;Non-tolerant PBMCs_NoTOL_VHC_10;No;Pert;A;1;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124753;Tolerant PBMC_TOL_14;No;Pert;A;2;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124833;Non-tolerant PBMCs_NoTOL_16;No;Pert;A;1;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124834;Tolerant PBMC_TOL_17;No;Pert;A;2;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124836;Tolerant PBMC_TOL_18;No;Pert;A;2;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124838;Non-tolerant PBMCs_NoTOL_VHC_19;No;Pert;A;1;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124840;Non-tolerant PBMCs_NoTOL_VHC_20;No;Pert;A;1;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124842;Non-tolerant PBMCs_NoTOL_VHC_21;No;Pert;A;1;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124845;Tolerant PBMC_TOL_25;No;Pert;A;2;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124850;Tolerant PBMC_TOL_VHC_26;No;Pert;A;2;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124851;Tolerant PBMC_TOL_27;No;Pert;A;2;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124853;Tolerant PBMC_TOL_28;No;Pert;A;2;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
GSE11881;Homo sapiens;GSM124863;Non-tolerant PBMCs_NoTOL_15;No;Pert;A;1;The complete database comprised the expression measurements of 54 675 genes for nine operationally tolerant (TOL) and eight immunosuppression-dependent (ID) samples.
